scientific.name,common.name,iconic.taxon.name,groups,observed.on,place.guess,positional.accuracy,user.login,user.id,captive.cultivated,url,image.url,license,source,checklist,count,longitude,latitude
Anas rubripes,american black duck,Aves,Birds,2023-03-10,Acadia NP—greater Buck Cove,NA,NA,NA,NA,https://ebird.org/checklist/S130601312,NA,NA,eBird,S130601312,2,-68.04231,44.361568
Anas rubripes,american black duck,Aves,Birds,2023-03-10,Acadia NP--West Pond,NA,NA,NA,NA,https://ebird.org/checklist/S130588959,NA,NA,eBird,S130588959,2,-68.0671263,44.3458069
Anas rubripes,american black duck,Aves,Birds,2023-03-10,Acadia NP--Frazer Point,NA,NA,NA,NA,https://ebird.org/checklist/S130586294,NA,NA,eBird,S130586294,3,-68.0752723,44.3754377
Anas rubripes,american black duck,Aves,Birds,2023-03-09,Suminsby Park - Sargent Drive,NA,NA,NA,NA,https://ebird.org/checklist/S130553927,NA,NA,eBird,S130553927,7,-68.304306,44.3361417
Anas rubripes,american black duck,Aves,Birds,2023-03-08,Acadia NP--Blueberry Hill,NA,NA,NA,NA,https://ebird.org/checklist/S130556607,NA,NA,eBird,S130556607,4,-68.0454782,44.3386398
Anas rubripes,american black duck,Aves,Birds,2023-03-08,Acadia NP--East Schoodic Drive ,NA,NA,NA,NA,https://ebird.org/checklist/S130550866,NA,NA,eBird,S130550866,2,-68.0390396,44.3625954
Anas rubripes,american black duck,Aves,Birds,2023-03-08,"Acadia National Park, Birch Harbor US-ME (44.3603,-68.0765)",NA,NA,NA,NA,https://ebird.org/checklist/S130444002,NA,NA,eBird,S130444002,2,-68.076475,44.360268
Anas rubripes,american black duck,Aves,Birds,2023-03-07,"Acadia National Park, Birch Harbor US-ME 44.36653, -68.07630",NA,NA,NA,NA,https://ebird.org/checklist/S130380512,NA,NA,eBird,S130380512,2,-68.076304,44.366531
Anas rubripes,american black duck,Aves,Birds,2023-03-05,Acadia NP - Buck Cove,NA,NA,NA,NA,https://ebird.org/checklist/S130298792,NA,NA,eBird,S130298792,4,-68.0469131,44.359574
Corvus brachyrhynchos,american crow,Aves,Birds,2023-03-10,Acadia NP—greater Buck Cove,NA,NA,NA,NA,https://ebird.org/checklist/S130601312,NA,NA,eBird,S130601312,1,-68.04231,44.361568
Corvus brachyrhynchos,american crow,Aves,Birds,2023-03-10,Acadia NP--Blueberry Hill,NA,NA,NA,NA,https://ebird.org/checklist/S130596925,NA,NA,eBird,S130596925,5,-68.0454782,44.3386398
